node_name,price_cpu,price_mem,price_net,price_queue,task_name,updated_time
node1,N/A,N/A,N/A,N/A,simpledetector0,N/A
node2,N/A,N/A,N/A,N/A,simpledetector0,N/A
node3,N/A,N/A,N/A,N/A,simpledetector0,N/A
node1,N/A,N/A,N/A,N/A,aggregate0,N/A
node2,N/A,N/A,N/A,N/A,aggregate0,N/A
node3,N/A,N/A,N/A,N/A,aggregate0,N/A
node1,N/A,N/A,N/A,N/A,aggregate1,N/A
node2,N/A,N/A,N/A,N/A,aggregate1,N/A
node3,N/A,N/A,N/A,N/A,aggregate1,N/A
node1,N/A,N/A,N/A,N/A,astutedetector2,N/A
node2,N/A,N/A,N/A,N/A,astutedetector2,N/A
node3,N/A,N/A,N/A,N/A,astutedetector2,N/A
node1,N/A,N/A,N/A,N/A,globalfusion,N/A
node2,N/A,N/A,N/A,N/A,globalfusion,N/A
node3,N/A,N/A,N/A,N/A,globalfusion,N/A
node1,N/A,N/A,N/A,N/A,aggregate2,N/A
node2,N/A,N/A,N/A,N/A,aggregate2,N/A
node3,N/A,N/A,N/A,N/A,aggregate2,N/A
node1,N/A,N/A,N/A,N/A,simpledetector1,N/A
node2,N/A,N/A,N/A,N/A,simpledetector1,N/A
node3,N/A,N/A,N/A,N/A,simpledetector1,N/A
node1,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node2,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node3,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node1,N/A,N/A,N/A,N/A,astutedetector0,N/A
node2,N/A,N/A,N/A,N/A,astutedetector0,N/A
node3,N/A,N/A,N/A,N/A,astutedetector0,N/A
node3,16.196093750000003,37.00234375000001,node1 1565.7052661030873 node2 1374.4427987705092 home 1284.4763877216305 ,0,astutedetector0,31.03.19 01:05:41
node3,16.196093750000003,37.00234375000001,node1 1565.566404431489 node2 1374.283481440934 home 1284.2770350319038 ,0,fusioncenter1,31.03.19 01:05:41
node3,16.196093750000003,37.00234375000001,node1 1565.7268127226469 node2 1374.4675194895287 home 1284.507320407828 ,0,astutedetector2,31.03.19 01:05:41
node3,16.196093750000003,37.00234375000001,node1 1591.6333353668667 node2 1404.2052731808428 home 1321.682061664971 ,0,aggregate0,31.03.19 01:05:42
node3,16.196093750000003,37.00234375000001,node1 1565.5795727705938 node2 1374.2985895667416 home 1284.295939813622 ,0,fusioncenter2,31.03.19 01:05:42
home,-1,-1,node1 2554.508610346098 node3 1299.5682244532318 node2 136.96364544313056 ,-1,localpro,31.03.19 01:06:36
node1,7.318320610687024,40.830534351145005,node3 1472.151562806035 home 2542.7700679533473 node2 2342.7769483439474 ,0,simpledetector2,31.03.19 01:08:25
node2,7.20610687022901,36.31755725190838,node1 2395.697180520978 node3 1265.924281021663 home 136.80153176416124 ,0,simpledetector2,31.03.19 01:08:25
node1,7.318320610687024,40.830534351145005,node3 1478.4546434576428 home 2556.197210862259 node2 2460.510861215409 ,0,aggregate1,31.03.19 01:08:26
node2,7.20610687022901,36.31755725190838,node1 2411.059092993129 node3 1273.3515209511363 home 137.12811005637337 ,0,aggregate1,31.03.19 01:08:26
node1,7.318320610687024,40.830534351145005,node3 1471.8260129497667 home 2542.076543016769 node2 2336.6193186741634 ,0,fusioncenter0,31.03.19 01:08:27
node2,7.20610687022901,36.31755725190838,node1 2394.9037069536303 node3 1265.540642258785 home 136.78467192342893 ,0,fusioncenter0,31.03.19 01:08:27
node2,7.20610687022901,36.31755725190838,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector0,31.03.19 01:08:27
node1,7.318320610687024,40.830534351145005,node3 1472.1751457245089 home 2542.8203070008053 node2 2343.2227165256227 ,0,simpledetector0,31.03.19 01:08:28
